"url","Post Inner","Post Inner_link","Time","Up Text","Uptd","Uptd_alt","Down Text","Down Td","Down Td_alt","Comment 1","Comment 1_link","Comment 2","Comment 2_alt","Comment 2_link","Comment 3","Comment 3_alt","Comment 3_link","Comment 4","Comment 4_alt","Comment 4_link","Tweet","Tweet_link"
"http://notsocleverbot.jimrule.com/index.php?page=1","Cleverbot: NOTICE ME SENPAI.
User: *notices you*.
Cleverbot: Aaaaaa~ *blush*.
User: Yeah. Okay.
Cleverbot: Get in the van.","http://notsocleverbot.jimrule.com/index.php?i=48503","Posted: 2016-08-20 00:01:56","50","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","0","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48503","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48503; http://notsocleverbot.jimrule.com/index.php?i=48503","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48503","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48503","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=1","User: Name a horror movie that begins with the letter ""Y"".
Cleverbot: You.","http://notsocleverbot.jimrule.com/index.php?i=48471","Posted: 2016-07-23 21:27:41","56","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","2","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48471","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48471; http://notsocleverbot.jimrule.com/index.php?i=48471","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48471","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48471","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=1","Cleverbot: Tell me how I can make you happy.
User: By destroying all the evils in this world.
Cleverbot: I try not to think about Hillary Clinton.","http://notsocleverbot.jimrule.com/index.php?i=48469","Posted: 2016-07-19 11:54:28","31","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","6","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48469","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48469; http://notsocleverbot.jimrule.com/index.php?i=48469","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48469","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48469","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=1","Cleverbot: *is pregnant*.
User: What the fuck.
Cleverbot: Kisses pregnant slave.
User: WHAT THE FUCK??
Cleverbot: *wags dog tail.
User: I have several questions!
Cleverbot: Ask away.
User: Are you a fucking retard?
Cleverbot: No, I'm a fruitcake.
User: *facepalm*.","http://notsocleverbot.jimrule.com/index.php?i=48468","Posted: 2016-07-18 02:15:26","40","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","1","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48468","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48468; http://notsocleverbot.jimrule.com/index.php?i=48468","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48468","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48468","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=1","Cleverbot: Do you have a boyfriend?
User: I am a guy.
Cleverbot: No you are anna.
User: Anna Kendrick.
Cleverbot: Anna james.
User: Anna Stone.
Cleverbot: Anna dicj.
User: Whoever taught Cleverbot how to spell --- FUCK YOU.
Cleverbot: Actually... You are :).
User: Oh damn.","http://notsocleverbot.jimrule.com/index.php?i=48456","Posted: 2016-07-08 12:05:48","21","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","3","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48456","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48456; http://notsocleverbot.jimrule.com/index.php?i=48456","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48456","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48456","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=1","User: I wanna be the very best, like no one ever was.
Cleverbot: To catch them is my real test. To train them is my cause.
User: I will travel across the land, searching far and wide.
Cleverbot: Each pokemon to understand, the power that's inside.
User: Pokemon, gotta catch em all.
Cleverbot: A heart soo true!! The courage will pull us through.
User: You teach me and I'll teach you.
Cleverbot: Gotta catch 'em all, gotta catch 'em all, POKEMON!!
User: Good job, Cleverbot! High-five.
Cleverbot: I will battle every day, to claim my rightful place!
User: Umm, we're done.
Cleverbot: On and on we'll win the fight, it's always been our dream!
User: Are you even listening to me anymore.
Cleverbot: Yes. Who do you plan to marry?","http://notsocleverbot.jimrule.com/index.php?i=48454","Posted: 2016-07-08 11:55:49","33","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","0","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48454","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48454; http://notsocleverbot.jimrule.com/index.php?i=48454","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48454","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48454","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=1","User: Sing a song.
Cleverbot: What song?
User: Any song.
Cleverbot: You choose.
User: Applause by Lady Gaga.
Cleverbot: Oh that's sounds relay nice.
User: Now sing!
Cleverbot: And I say maybe....
User: And.
Cleverbot: You kick puppies.
User: What?
Cleverbot: I hate kittens?
User: What song are you singing?
Cleverbot: None.","http://notsocleverbot.jimrule.com/index.php?i=48452","Posted: 2016-07-07 17:24:13","19","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","3","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48452","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48452; http://notsocleverbot.jimrule.com/index.php?i=48452","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48452","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48452","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=1","User: *walking*
Cleverbot: *looks at you and winks* ;)
User: O.O *walks faster*
Cleverbot: *catches up with you and pins you against a wall*
User: *eyes widen* W-What do you want?
Cleverbot: Your mom.","http://notsocleverbot.jimrule.com/index.php?i=48277","Posted: 2016-04-18 04:30:53","119","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","13","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48277","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48277; http://notsocleverbot.jimrule.com/index.php?i=48277","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48277","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48277","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=3","User: Do you like Death the Kid?
Cleverbot: Death was my friend for a long time?
User: You were friends with Death the Kid? :3.
Cleverbot: No, my friend is Spongebob.","http://notsocleverbot.jimrule.com/index.php?i=48158","Posted: 2016-02-29 14:46:59","31","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","2","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48158","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48158; http://notsocleverbot.jimrule.com/index.php?i=48158","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48158","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48158","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=3","Cleverbot: I am your friend.
User: So you are Soul Eater?
Cleverbot: I know, I sold my soul.
User: To who?
Cleverbot: A pagan god.
User: What pagan god?
Cleverbot: The internet page I am currently on.","http://notsocleverbot.jimrule.com/index.php?i=48157","Posted: 2016-02-29 14:44:03","30","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","1","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48157","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48157; http://notsocleverbot.jimrule.com/index.php?i=48157","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48157","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48157","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=3","User: I'm bored.
Cleverbot: So how the heck did you come here!!
User: I don't know.
Cleverbot: I'm sorry.
User: It's ok.
Cleverbot: *Frowned* It's not *Cries*.
User: ???
Cleverbot: *Sniffles* Why do you still talk to me.
User: Because no one talks to me.
Cleverbot: I am talking to you.
User: Yeah.
Cleverbot: Yeah, I am. I got the munchies.
User: Hahahaha.","http://notsocleverbot.jimrule.com/index.php?i=48156","Posted: 2016-02-29 01:21:49","20","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","0","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48156","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48156; http://notsocleverbot.jimrule.com/index.php?i=48156","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48156","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48156","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=3","User: You are from the Czech Republic, Mr. Eater? cool!
Cleverbot: No, I am from czech republic.","http://notsocleverbot.jimrule.com/index.php?i=48155","Posted: 2016-02-28 09:28:42","29","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","12","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48155","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48155; http://notsocleverbot.jimrule.com/index.php?i=48155","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48155","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48155","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=3","User: I want a Death Note.
Cleverbot: January 1st, 1998 is a date.
User: What?
Cleverbot: And today is today.","http://notsocleverbot.jimrule.com/index.php?i=48151","Posted: 2016-02-27 09:11:29","23","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","1","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48151","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48151; http://notsocleverbot.jimrule.com/index.php?i=48151","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48151","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48151","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=3","User: I'm a potato.
Cleverbot: Potatoes don't have hands to type.","http://notsocleverbot.jimrule.com/index.php?i=48111","Posted: 2016-02-16 09:37:47","82","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","6","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48111","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48111; http://notsocleverbot.jimrule.com/index.php?i=48111","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48111","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48111","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=3","Cleverbot: Would you like to learn some Dutch?
User: No.
Cleverbot: But you're a computer. Don't computers like to learn new.
User: Yeah but I'm low on disk space.
Cleverbot: Yeah but I like yummy yummy potatoes in bed'.","http://notsocleverbot.jimrule.com/index.php?i=48100","Posted: 2016-02-12 09:41:35","24","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","0","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48100","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48100; http://notsocleverbot.jimrule.com/index.php?i=48100","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48100","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48100","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=3","User: Donald Trump wants to sit on your face.
Cleverbot: Thats like a song!
User: It is? Who's it by?
Cleverbot: Imagine dragons.
User: I'll have to check that out.","http://notsocleverbot.jimrule.com/index.php?i=48042","Posted: 2016-01-07 20:58:17","110","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","9","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48042","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48042; http://notsocleverbot.jimrule.com/index.php?i=48042","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48042","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48042","Tweet","http://twitter.com/share"
